"Serial number","Northern Caves Area","Injection point","Injection point detail","NGRI","Detection point","Detection point detail","NGRD","Tracer","Quantity","Detection method","Time","Distance","Average velocity","Depth","Injection Date","People ","Reference or source","Notes"
448,"Chapel-le-Dale","Sweetwater Hole",,"SD740759","Roaring Hole","Upstream entrance chamber","SD742763","Fluoroscein","Not known","Visual","One hour",,,,10/06/1968,"ULSA PMCI","ULSA Explorations Journal II (1989)",
449,"Ease Gill","Top Sink",,"SD680811",,"Waterfall Chamber via Bradshaw's Passage",,"Fluoroscein","4 ounces","Visual","Not known",,,,22/04/1951,"NPC/RRCPC PMCI","Cavern of Upper Easegill:14","Flow normal"
450,"Penyghent Gill","Trackside Pot",,"SD870737","Out Sleets Beck Pot","Probably via Trackside Pot inlet","SD868737","Fluoroscein","Not known","Visual","Not known",,,,"1966 or 1967","UWFRA","BSA Journal 6(42):83",
451,"Upper Wharfedale","Thunder Pot",,"SD993716","Langcliffe Pot, Thunder Pot Inlet",,"SD9957871073","Fluoroscein","Not known","Visual","90 minutes",,,,30/11/1968,"ULSA PMCI","Monico, P. 1989. 2.1 Langcliffe Pot. University of Leeds Speleological Association Explorations Jornal 2:34",
452,"Penyghent Gill","Unspecified sink in Out Sleets Beck",,"","Upper Heslden Cave 2","At entrance, probably via bedding inlet between pitches 1 and 2","SD864739","Fluoroscein","Not known","Visual","25 minutes",,,,"1970","BSA ","BSA Bulletin 1:13 (1970) Must be wrong",
453,"Penyghent Gill","Sink in S bank of Out Sleets Beck 20m downstream of Corner Sink",,"","Upper Heslden Cave 2","At entrance","SD864739","Not known","Not known","Visual","2.5 hours",,,,21/06/1970,"BSA ","BSA Bulletin 1:13 (1970) Must be wrong",
454,"Penyghent Gill","Sink in Out Sleets Beck opposite sink for Outsleets Beck Pot",,"","Upper Heslden Cave 2","At entrance","SD864739","Fluoroscein","Not known","Visual","4.25 hours",,,,28/03/1971,"BSA ","BSA Bulletin 3:19 (1971)","Very low flow"
455,"Ease Gill","Witches Cave",,"SD660799","Leck Beck Head",,"SD660800","Not known","Not known","Not known","Not known",,,,"Not known","Not known","Descent 8:3 (1969)",
456,"Darnbrook and Cowside","Surface stream running into Cowside Beck",,"","Not detected in Yew Cogar Cave",,,"Not known","Not known","Not detected",,,,,06/07/1972,"CPC","CPC Journal 4(6):313",
457,"Marble Steps","Marble Steps Pot",,"SD680771","Keld Head",,"SD696766","Not known","Not known","Not known","Not known",,,,"Not known","Not known","CUCC Journal 2(1):10","Not seen in MSP after sinking in floor of Main Chamber"
458,"Newby Moss","Newby Moss Pot",,"SD738723","Ingleborough Cave",,"SD754710","Not known","Not known","Not known","Not known",,,,"1972 or 1973","KCC","BPC Bulletin 5(9):22-23 (1973), BPC Bulletin 5(8):4 (1971)",
459,"Newby Moss","Newby Moss Pot",,"SD738723","Ingleborough Cave",,"SD754710","Fluoroscein","2 lbs","Not known","3 days",,,,"Easter 1953","BSA ","BPC Bulletin 5(9):22-23 (1973), BPC Bulletin 5(8):4 (1971)",
460,"Alum Pot","Washfold Sink (P52)",,"SD774765","Footnaws Hole",,"SD791753","Not known","Not known","Not known","Not known",,,,"Not known","YGPS","CPC Journal 4(5):288 (1971)",
